State,Percentage Of Drivers Involved In Fatal Collisions Who Were Alcohol-Impaired
Utah,16
Kentucky,23
Kansas,24
Iowa,25
Alaska,25
Georgia,25
Oregon,26
Arkansas,26
Virginia,27
New Mexico,27
District of Columbia,27
Arizona,28
New Jersey,28
West Virginia,28
Colorado,28
California,28
Michigan,28
New York,29
Oklahoma,29
Minnesota,29
Tennessee,29
Indiana,29
Idaho,29
Florida,29
Maine,30
Vermont,30
Delaware,30
New Hampshire,30
Alabama,30
Pennsylvania,31
Mississippi,31
North Carolina,31
Wyoming,32
Maryland,32
Nevada,32
South Dakota,33
Washington,33
Louisiana,33
Wisconsin,33
Illinois,34
Missouri,34
Ohio,34
Massachusetts,35
Nebraska,35
Connecticut,36
Rhode Island,38
Texas,38
Hawaii,41
South Carolina,41
North Dakota,42
Montana,44
