State,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted
Mississippi,10
Wisconsin,39
Oregon,67
New Mexico,67
Maryland,71
Louisiana,73
Kansas,77
Kentucky,78
Colorado,79
Wyoming,81
Hawaii,82
Tennessee,82
Washington,82
Montana,84
Arizona,84
Idaho,85
New Jersey,86
Delaware,87
New Hampshire,87
Maine,87
Massachusetts,87
Virginia,87
Connecticut,87
Utah,88
New York,88
Minnesota,88
Alaska,90
Texas,91
California,91
Rhode Island,92
Oklahoma,92
Missouri,92
Florida,92
Nebraska,93
North Carolina,94
Arkansas,94
Illinois,94
Michigan,95
Georgia,95
Indiana,95
Nevada,95
Vermont,96
Alabama,96
Pennsylvania,96
South Carolina,96
Iowa,97
West Virginia,97
South Dakota,98
Ohio,99
North Dakota,99
District of Columbia,100
