State,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding
Nebraska,13
Mississippi,15
New Jersey,16
Iowa,17
Arkansas,18
Georgia,19
Kentucky,19
Virginia,19
New Mexico,19
Florida,21
Tennessee,21
North Dakota,23
Minnesota,23
Massachusetts,23
Michigan,24
Indiana,25
Kansas,27
Ohio,28
Vermont,30
South Dakota,31
Oklahoma,32
New York,32
Oregon,33
Rhode Island,34
West Virginia,34
Maryland,34
District of Columbia,34
California,35
New Hampshire,35
Arizona,35
Louisiana,35
Wisconsin,36
Idaho,36
Illinois,36
Nevada,37
Colorado,37
South Carolina,38
Maine,38
Delaware,38
Montana,39
North Carolina,39
Alabama,39
Texas,40
Alaska,41
Washington,42
Wyoming,42
Utah,43
Missouri,43
Connecticut,46
Pennsylvania,50
Hawaii,54
